epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_sec
1,2.24616,0.37416,1.79198,0.51229,1.00e-03,8.5
2,1.03338,0.68946,0.73796,0.79206,1.00e-03,7.1
3,0.67640,0.81153,1.41885,0.63516,1.00e-03,8.6
4,0.50390,0.84891,0.56175,0.81664,1.00e-03,6.8
5,0.39186,0.88310,0.38844,0.89225,1.00e-03,8.9
6,0.40804,0.87753,0.61460,0.82987,1.00e-03,6.8
7,0.35673,0.89145,0.52274,0.83365,1.00e-03,8.8
8,0.28563,0.91014,0.32502,0.90170,1.00e-03,6.7
9,0.26754,0.91889,0.29436,0.90737,1.00e-03,8.9
10,0.27201,0.92286,0.32246,0.91304,1.00e-03,6.8
11,0.17406,0.94871,0.18518,0.95085,5.00e-04,8.9
12,0.13640,0.95427,0.20646,0.94518,5.00e-04,7.1
13,0.11744,0.96421,0.15537,0.95463,5.00e-04,8.2
14,0.09780,0.96978,0.22853,0.93384,5.00e-04,7.5
15,0.10379,0.96700,0.19900,0.94518,5.00e-04,7.7
16,0.10540,0.96660,0.19096,0.95085,5.00e-04,8.1
17,0.11307,0.96461,0.24418,0.93762,5.00e-04,6.9
18,0.11203,0.96620,0.27211,0.92628,5.00e-04,8.6
19,0.10769,0.96740,0.26551,0.92817,5.00e-04,6.8
20,0.09183,0.97734,0.24999,0.92628,5.00e-04,8.8
21,0.06887,0.98131,0.17740,0.95274,2.50e-04,6.8
22,0.05802,0.98091,0.16280,0.95841,2.50e-04,8.8
23,0.05554,0.98370,0.16384,0.95841,2.50e-04,6.8
24,0.05335,0.98410,0.16740,0.95463,2.50e-04,8.8
25,0.04757,0.98608,0.20791,0.94896,2.50e-04,6.6
26,0.03703,0.99125,0.16863,0.95274,2.50e-04,8.8
27,0.03610,0.98688,0.18693,0.95463,2.50e-04,7.0
28,0.04106,0.98569,0.19196,0.94707,2.50e-04,8.3
29,0.05107,0.98648,0.20806,0.95274,2.50e-04,7.3
30,0.04611,0.98410,0.19626,0.94707,2.50e-04,7.8
31,0.03618,0.98847,0.15211,0.95274,1.25e-04,7.9
32,0.03529,0.99046,0.15264,0.95652,1.25e-04,7.2
33,0.02696,0.99284,0.15089,0.96597,1.25e-04,8.2
34,0.02641,0.99006,0.16619,0.95841,1.25e-04,6.7
35,0.02986,0.99165,0.15797,0.95841,1.25e-04,8.6
36,0.01929,0.99324,0.15115,0.95652,1.25e-04,6.8
37,0.02662,0.99324,0.15388,0.96219,1.25e-04,8.8
38,0.02548,0.99046,0.16709,0.94896,1.25e-04,6.9
39,0.02042,0.99324,0.15536,0.95652,1.25e-04,8.9
40,0.02477,0.99125,0.14039,0.96219,1.25e-04,6.7
