epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_sec
1,2.10127,0.40994,1.24379,0.62949,3.00e-04,9.4
2,0.80998,0.77535,0.56061,0.84310,3.00e-04,6.8
3,0.49481,0.86839,0.53313,0.84688,3.00e-04,8.9
4,0.34463,0.89940,0.53781,0.85633,3.00e-04,7.0
5,0.26899,0.92445,0.37658,0.89981,3.00e-04,8.3
6,0.25819,0.92724,0.48488,0.88280,3.00e-04,7.3
7,0.22934,0.93559,0.31159,0.90926,3.00e-04,7.7
8,0.20045,0.94274,0.38810,0.89981,3.00e-04,8.1
9,0.15522,0.95984,0.31572,0.90926,3.00e-04,7.1
10,0.14848,0.95905,0.30779,0.89603,3.00e-04,8.5
11,0.09258,0.97575,0.19891,0.94329,1.50e-04,6.7
12,0.07894,0.97455,0.22202,0.93384,1.50e-04,8.8
13,0.06836,0.98569,0.26904,0.93762,1.50e-04,6.6
14,0.06737,0.97972,0.26884,0.93195,1.50e-04,8.8
15,0.06225,0.98211,0.28252,0.92628,1.50e-04,6.7
16,0.05010,0.98529,0.22945,0.93384,1.50e-04,8.9
17,0.05892,0.98410,0.21299,0.94518,1.50e-04,6.9
18,0.06193,0.98091,0.22520,0.93384,1.50e-04,8.9
19,0.06062,0.98330,0.30780,0.91304,1.50e-04,6.7
20,0.06612,0.98211,0.24686,0.93762,1.50e-04,8.6
21,0.05004,0.98569,0.23188,0.93951,7.50e-05,7.0
22,0.02733,0.99125,0.22172,0.94707,7.50e-05,8.1
23,0.02753,0.99284,0.22309,0.94518,7.50e-05,7.9
24,0.02755,0.98926,0.23488,0.93762,7.50e-05,7.3
25,0.02515,0.99404,0.20776,0.94140,7.50e-05,8.5
26,0.02180,0.99523,0.23246,0.94518,7.50e-05,6.7
27,0.02495,0.99324,0.19059,0.94896,7.50e-05,8.7
28,0.02151,0.99443,0.21127,0.94707,7.50e-05,6.7
29,0.02854,0.99125,0.24400,0.93762,7.50e-05,8.9
30,0.01692,0.99563,0.22859,0.93195,7.50e-05,6.9
31,0.02120,0.99523,0.21082,0.94140,3.75e-05,8.8
32,0.01734,0.99483,0.21705,0.94329,3.75e-05,6.7
33,0.02024,0.99404,0.21092,0.94518,3.75e-05,8.9
34,0.01674,0.99563,0.19170,0.94896,3.75e-05,6.8
35,0.01564,0.99523,0.18432,0.94896,3.75e-05,8.6
36,0.01377,0.99523,0.19464,0.94707,3.75e-05,7.2
37,0.01647,0.99483,0.18800,0.94329,3.75e-05,8.1
38,0.01152,0.99682,0.18727,0.94518,3.75e-05,7.8
39,0.01063,0.99682,0.17874,0.94707,3.75e-05,7.1
40,0.01666,0.99483,0.19492,0.94707,3.75e-05,8.4
