epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_sec
1,2.07786,0.41551,1.07721,0.67486,3.00e-04,7.3
2,0.79539,0.78012,0.55490,0.82420,3.00e-04,9.5
3,0.47701,0.86203,0.41938,0.86011,3.00e-04,6.7
4,0.35929,0.89901,0.53582,0.85444,3.00e-04,9.0
5,0.24569,0.93280,0.38653,0.89225,3.00e-04,7.0
6,0.23709,0.92922,0.35629,0.91115,3.00e-04,8.5
7,0.21994,0.93559,0.34383,0.90737,3.00e-04,7.3
8,0.19810,0.93996,0.28649,0.90926,3.00e-04,8.0
9,0.20386,0.93837,0.37081,0.89603,3.00e-04,8.0
10,0.16655,0.95348,0.32336,0.91304,3.00e-04,7.2
11,0.08715,0.97694,0.20886,0.94140,1.50e-04,8.3
12,0.07527,0.97614,0.23914,0.93006,1.50e-04,6.7
13,0.05821,0.98449,0.19641,0.94707,1.50e-04,8.7
14,0.04705,0.98807,0.20393,0.94518,1.50e-04,6.7
15,0.04627,0.98569,0.18103,0.95274,1.50e-04,8.9
16,0.05525,0.98410,0.19840,0.93951,1.50e-04,6.8
17,0.06435,0.98131,0.21371,0.93573,1.50e-04,8.8
18,0.04792,0.98608,0.21929,0.93006,1.50e-04,6.8
19,0.06041,0.98171,0.24026,0.93762,1.50e-04,9.1
20,0.05749,0.98290,0.26916,0.93384,1.50e-04,6.7
21,0.04734,0.98648,0.20132,0.94140,7.50e-05,8.8
22,0.03155,0.99046,0.17664,0.94518,7.50e-05,6.8
23,0.02580,0.99483,0.20070,0.94329,7.50e-05,8.6
24,0.02152,0.99364,0.18443,0.94896,7.50e-05,7.0
25,0.02441,0.99364,0.18854,0.94329,7.50e-05,8.2
26,0.02347,0.99324,0.19673,0.94518,7.50e-05,7.4
27,0.01876,0.99563,0.18406,0.94707,7.50e-05,7.8
28,0.01857,0.99523,0.18202,0.94329,7.50e-05,8.0
29,0.02540,0.99125,0.19213,0.94707,7.50e-05,7.1
30,0.02037,0.99483,0.22125,0.93195,7.50e-05,8.7
31,0.02233,0.99284,0.18957,0.94140,3.75e-05,6.8
32,0.01757,0.99523,0.18373,0.94329,3.75e-05,8.8
33,0.01763,0.99404,0.18300,0.94518,3.75e-05,6.8
34,0.01215,0.99642,0.17386,0.94518,3.75e-05,9.0
35,0.01552,0.99563,0.17042,0.95274,3.75e-05,6.7
36,0.01131,0.99682,0.17361,0.94707,3.75e-05,8.9
37,0.01527,0.99483,0.17487,0.94329,3.75e-05,6.8
38,0.01542,0.99602,0.16841,0.94140,3.75e-05,9.0
39,0.01276,0.99682,0.15899,0.94707,3.75e-05,6.7
40,0.01501,0.99523,0.17435,0.94707,3.75e-05,8.8
