epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_sec
1,2.29879,0.36064,2.29225,0.40076,1.00e-03,7.1
2,1.07805,0.68151,0.71091,0.78450,1.00e-03,9.0
3,0.68528,0.80119,0.76336,0.77127,1.00e-03,6.8
4,0.56209,0.82942,0.48854,0.84499,1.00e-03,8.4
5,0.41381,0.87873,0.55469,0.84688,1.00e-03,7.3
6,0.38540,0.89026,0.60239,0.82231,1.00e-03,7.9
7,0.35249,0.88787,0.36448,0.89603,1.00e-03,7.7
8,0.31411,0.90855,0.49837,0.86200,1.00e-03,7.2
9,0.29602,0.91054,0.39894,0.87713,1.00e-03,8.2
10,0.30765,0.91571,0.35400,0.90359,1.00e-03,6.9
11,0.18435,0.94473,0.17021,0.94896,5.00e-04,8.6
12,0.12943,0.96342,0.16746,0.94707,5.00e-04,6.7
13,0.11399,0.96581,0.25255,0.93195,5.00e-04,8.8
14,0.10689,0.96938,0.25114,0.92817,5.00e-04,6.9
15,0.12099,0.96541,0.19553,0.95463,5.00e-04,8.8
16,0.11454,0.96541,0.15236,0.95652,5.00e-04,6.8
17,0.11677,0.96501,0.25605,0.93384,5.00e-04,8.9
18,0.12601,0.95825,0.38533,0.89225,5.00e-04,6.7
19,0.12663,0.95825,0.35401,0.91493,5.00e-04,8.7
20,0.10195,0.96779,0.18028,0.95274,5.00e-04,6.9
21,0.07819,0.97694,0.15762,0.95274,2.50e-04,8.4
22,0.07415,0.97734,0.14994,0.94896,2.50e-04,7.3
23,0.05748,0.98091,0.16216,0.95841,2.50e-04,7.8
24,0.06111,0.98091,0.14804,0.95085,2.50e-04,7.9
25,0.04032,0.98569,0.19341,0.93951,2.50e-04,7.2
26,0.04224,0.98648,0.18787,0.94896,2.50e-04,8.4
27,0.03999,0.98648,0.16563,0.95274,2.50e-04,6.7
28,0.05763,0.98290,0.18990,0.94329,2.50e-04,8.6
29,0.04033,0.98887,0.17635,0.95085,2.50e-04,6.7
30,0.03722,0.99046,0.20423,0.94140,2.50e-04,8.7
31,0.03453,0.99046,0.17992,0.95085,1.25e-04,6.8
32,0.04065,0.98767,0.19464,0.94707,1.25e-04,8.8
33,0.03156,0.99006,0.19016,0.94140,1.25e-04,6.8
34,0.03455,0.98887,0.17219,0.94707,1.25e-04,8.8
35,0.02928,0.98926,0.14485,0.96030,1.25e-04,6.8
36,0.02554,0.99085,0.15388,0.95841,1.25e-04,8.9
37,0.02581,0.99125,0.15086,0.96030,1.25e-04,6.7
38,0.02420,0.99165,0.16266,0.95463,1.25e-04,8.8
39,0.02384,0.99125,0.16068,0.95463,1.25e-04,7.0
40,0.02362,0.99284,0.17086,0.95652,1.25e-04,8.5
